number;title
2;The Hills Have Eyes Part II (1985)
3;The Hills Have Eyes III (1995)  
1;Honey, I Shrunk the Kids (1989)
2;Honey, I Blew Up the Kid (1992)
3;Honey, We Shrunk Ourselves (1997)  
1;Hostel (2005)
2;Hostel: Part II (2007)
3;Hostel: Part III (2011)  
1;Hotel Transylvania (2012)
2;Hotel Transylvania 2 (2015)
3;Hotel Transylvania 3: Summer Vacation (2018)
1;Housefull (2010)
2;Housefull 2 (2012)
3;Housefull 3 (2016)
1;How to Train Your Dragon (2010)
2;How to Train Your Dragon 2 (2014)
3;How to Train Your Dragon 3 (2019)
1;The Human Centipede (First Sequence)
2;The Human Centipede 2 (Full Sequence)
3;The Human Centipede 3 (Final Sequence)
1;No Greater Love (1959)
2;Road to Eternity (1959)
3;A Soldier's Prayer (1961)
1;Hustruer (1975)
2;Hustruer - ti år etter (1985)
3;Hustruer III (1996)
1;I Know What You Did Last Summer (1997)
2;I Still Know What You Did Last Summer (1998)
3;I'll Always Know What You Did Last Summer (2006)  
1;I mostri (1963)
2;I nuovi mostri (1977)
3;I mostri oggi (2009)
1;In the Heat of the Night (1967)
2;They Call Me MISTER Tibbs! (1970)
3;The Organization (1971)
1;Indecent Behavior (1993)
2;Indecent Behavior II (1994)
3;Indecent Behavior III (1995)
1;Satya (1998)
2;Company (2002)
3;D (2005)
1;Infernal Affairs (2002)
2;Infernal Affairs II (2003)  
3;Infernal Affairs III (2003)
1;Aavanazhi (1986)
2;Inspector Balram (1991)
3;Balram vs. Tharadas (2006)
1;Inspector Hornleigh (1939)
2;Inspector Hornleigh on Holiday (1939)
3;Inspector Hornleigh Goes to It (1941)
1;Inspecteur Sergil (fr) (1947)
2;Sergil et le dictateur (fr) (1948)
3;Sergil chez les filles (fr) (1952)
1;The Man from Majorca (1984)
2;I lagens namn (sv) (1986)
3;Den vite riddaren (sv) (1994)  
1;I soliti ignoti (1958)
2;Audace colpo dei soliti ignoti (1960)
3;I soliti ignoti vent'anni dopo (1985)
1;Under the Sun of Rome (aka Sotto il sole di Roma) (1948)
2;È primavera... (1950)
3;Two Cents Worth of Hope (aka Due Soldi di Speranza) (1950)
1;Ip Man (2008)
2;Ip Man 2 (2010)
3;Ip Man 3 (2015)
1;It's Alive (1974)
2;It Lives Again (1978)
3;It's Alive III: Island of the Alive (1987)
1;Ivan Groznyy I (1944)
2;Ivan Groznyy II: Boyarsky zagovor (1958)
3;Ivan Groznyy III (1988)
1;Ivan Tsarevich and the Gray Wolf (2011)
2;Ivan Tsarevich and the Gray Wolf (2013)
3;Ivan Tsarevich and the Gray Wolf (2016)
1;Jackass: The Movie (2002)
2;Jackass Number Two (2006)
3;Jackass 3D (2010)
1;Jarhead (2005)
2;Jarhead 2: Field of Fire (2014)  
3;Jarhead 3: The Siege (2016)  
1;Jeepers Creepers (2001)
2;Jeepers Creepers 2 (2003)
3;Jeepers Creepers 3 (2017)
1;Des frissons partout (1963)
2;Laissez tirer les tireurs (fr) (1964)
3;Ces dames s'en mêlent (1965)
1;Jeg - en kvinde (1965)
2;Jeg, en kvinda II (1968)
3;3 slags kærlighed (1970)
1;Jesse James Rides Again (1947)
2;Adventures of Frank and Jesse James (1948)
3;The James Brothers of Missouri (1949)
1;The Jetsons Meet the Flintstones (1987)  
2;Rockin' with Judy Jetson (1987)  
3;Jetsons: The Movie (1990)
1;Jiang tou (1975)
2;Gou hun jiang tou (1976)
3;Ratu ilmu hitam (1979)
1;The Jimmy Timmy Power Hour (2004)  
2;The Jimmy Timmy Power Hour 2: When Nerds Collide (2006)  
3;The Jimmy Timmy Power Hour 3: The Jerkinators (2006)  
1;Recordações da Casa Amarela (1989)
2;A Comédia de Deus (1995)
3;As Bodas de Deus (1999)
1;Once a Thief (1996)  
2;Once a Thief: Brother Against Brother (1997)  
3;Once a Thief: Family Business (1998)  
1;Johnny English (2003)
2;Johnny English Reborn (2011)
3;Johnny English 3 (2018)
1;Joy Ride (2001)
2;Joy Ride 2: Dead Ahead (2008)  
3;Joy Ride 3: Roadkill (2014)  
1;Jumanji (1995)
2;Zathura: A Space Adventure (2005)
3;Jumanji: Welcome to the Jungle (2017)
1;Rudyard Kipling's The Jungle Book (1994)
2;Rudyard Kipling's The Second Jungle Book: Mowgli and Baloo (1996)
3;Rudyard Kipling's The Jungle Book: Mowgli's Story (1998)  
1;Jungledyret (1993)
2;Jungledyret 2 - den store filmhelt (1996)
3;Jungledyret Hugo: Fræk, flabet og fri (2007)
1;Justice League (Secret Origins) (2001)  
2;Justice League - The Savage Time (2002)  
3;Justice League: Starcrossed (2004)  
1;K-9 (1989)
2;K-911 (1999)  
3;K-9: P.I. (2002)  
1;The Vampire Lovers (1970)
2;Lust for a Vampire (1971)
3;Twins of Evil (1972)
1;Mimics Parade (1991)
2;Kasargod Khader Bhai (1992)
3;Again Kasargod Khader Bhai (2010)
1;Chelsea 7750 (1913)
2;An Hour Before Dawn (1913)
3;The Port of Doom (1913)
1;Kekec (1951)
2;Srecno Kekec (1963)
3;Kekceve ukane (1968)
1;The Bastard (1978)  
2;The Rebels (1979)  
3;The Seekers (1979)  
1;The Red Spectacles (1987)
2;StrayDog: Kerberos Panzer Cops (1991)
3;Jin-Roh: The Wolf Brigade (1999)
1;Kerubin (1952)
2;Tulisang pugot (1953)
3;Nagkita si Kerubin at si Tulisang Pugot (1954)
1;Kevade (1969)
2;Suvi (1976)
3;Sügis (1990)
1;Kirikou and the Sorceress (1998)
2;Kirikou and the Wild Beasts (2005)
3;Kirikou and the Men and Women (2012)
1;Ivanhoe (1952)
2;Knights of the Round Table (1953)
3;The Adventures of Quentin Durward (1955)
1;Knight Rider 2000 (1991)  
2;Knight Rider 2010 (1994)  
3;Knight Rider (2008)  
1;Where Is the Friend's Home? (1987)
2;And Life Goes On (aka Life and Nothing More) (1992)
3;Through the Olive Trees (1994)
1;Kolpaçino (2009)
2;Kolpaçino: Bomba (2011)
3;Kolpaçino 3. Devre (tr) (2016)
1;Koi... Mil Gaya (2003)
2;Krrish (2006)
3;Krrish 3 (2013)
1;Kung Fu: The Way of the Tiger, the Sign of the Dragon (1972)  
2;Kung Fu: The Movie (1986)  
3;Kung Fu: The Next Generation (1987)  
1;Kung Fu Panda (2008)
2;Kung Fu Panda 2 (2011)
3;Kung Fu Panda 3 (2016)
1;Kutsal Damacana (2007)
2;Kutsal Damacana 2: İtmen (2010)
3;Kutsal Damacana: Dracoola (2011)
1;Kyaa Kool Hai Hum (2005)
2;Kyaa Super Kool Hain Hum (2012)
3;Kyaa Kool Hain Hum 3 (2016)
1;The Last Chance Detectives: Mystery Lights of Navajo Mesa (1994)  
2;The Last Chance Detectives: Legend of the Desert Bigfoot (1995)  
3;The Last Chance Detectives: Escape from Fire Lake (1996)  
1;Wu yi tan zhang: Lei Luo zhuan (1991)
2;Wu yi tan zhang: Lei Luo zhuan zhi er (1991)
3;Wu yi tan zhang: Lei Luo zhuan zhi san (1992)
1;Left Behind (2000)  
2;Left Behind II: Tribulation Force (2002)  
3;Left Behind: World at War (2005)
1;Legally Blonde (2001)
2;Legally Blonde 2: Red, White & Blonde (2003)
3;Legally Blondes (2009)  
1;Les Tuche (2011)
2;Les Tuche 2 (2016)
3;Les Tuche 3 (fr) (2018)
1;The Librarian: Quest for the Spear (2004)  
2;The Librarian: Return to King Solomon's Mines (2006)  
3;The Librarian: Curse of the Judas Chalice (2008)  
1;Lilly the Witch: The Dragon and the Magic Book (2009)
2;Lilly the Witch: The Journey to Mandolan (2011)
3;Lilly's Bewitched Christmas (de) (2017)
1;L'insegnante (1975)
2;L'insegnante va in collegio (1978)
3;L'insegnante viene a casa (1978)
1;The Little Mermaid (1989)
2;The Little Mermaid II: Return to the Sea (2000)  
3;The Little Mermaid: Ariel's Beginning (2008)    
1;Look Who's Talking (1989)
2;Look Who's Talking Too (1990)
3;Look Who's Talking Now (1993)
1;The Lost Boys (1987)
2;Lost Boys: The Tribe (2008)  
3;Lost Boys: The Thirst (2010)  
1;Love Hunter (1972)
2;Love Hunter: Hot Skin (1972)
3;Love Hunter: Lust (1973)
1;Winners and Sinners (1983)
2;My Lucky Stars (1985)
3;Twinkle, Twinkle Lucky Stars (1986)
1;Lucky Stars Go Places (1986)
2;Return of the Lucky Stars (1989)
3;Ghost Punting (1991)
1;Lyubit po-russki (1989)
2;Lyubit po-russki 2 (1996)
3;Lyubit po-russki 3: Gubernator (1999)
1;Picpus (fr) (1943)
2;Cécile est morte (fr) (1944)
3;Majestic Hotel Cellars (1945)
1;Maigret Sets a Trap (1958)
2;Maigret et l'Affaire Saint-Fiacre (1959)
3;Maigret voit rouge (fr) (1963)
1;Waga jinsei saiaku no toki (1994)
2;Harukana jidai no kaidan o (1995)
3;Wana (1996)
1;Major League (1989)
2;Major League II (1994)
3;Major League: Back to the Minors (1998)
1;A Man Called Horse (1970)
2;The Return of a Man Called Horse (1976)
3;Triumphs of a Man Called Horse (1982)
1;The Mangler (1995)
2;The Mangler 2 (2002)  
3;The Mangler Reborn (2005)  
1;Maniac Cop (1988)
2;Maniac Cop 2 (1990)  
3;Maniac Cop III: Badge of Silence (1993)  
1;Der Tod der Maria Malibran (fr) (1972)
2;Willow Springs (fr) (1973)
3;Goldflocken (1976)
1;Mark of the Cop (1975)
2;Mark Shoots First (1975)
3;Mark Strikes Again (1976)
1;Marrying the Mafia (2002)
2;Marrying the Mafia II (2005)
3;Marrying the Mafia III (2006)
1;Mary Tyler Moore: The 20th Anniversary Show (1991)  
2;Mary and Rhoda (2000)  
3;The Mary Tyler Moore Reunion (2002)  
1;The Masked Gang (2005)
2;The Masked Gang: Iraq (2007)
3;The Masked Gang: Cyprus (2008)
1;Mästerdetektiven Blomkvist (1947)
2;Mästerdetektiven och Rasmus (1953)
3;Mästerdetektiven Blomkvist lever farligt (1957)
1;The Matrix (1999)
2;The Matrix Reloaded (2003)
3;The Matrix Revolutions (2003)
1;A Town Without Christmas (2001)  
2;Finding John Christmas (2003)  
3;When Angels Come to Town (2004)  
1;The Youth of Maxim (1935)
2;The Return of Maxim (1937)
3;The Vyborg Side (1939)
1;Detstvo Gorkogo (1938)
2;V lyudyakh (1939)
3;Moi universitety (1940)
1;Mayday (1993)
2;Illumination (1995)
3;The Astonishing Tribe (1996)
1;The Maze Runner (2014)
2;Maze Runner: The Scorch Trials (2015)
3;Maze Runner: The Death Cure (2018)
1;Meet the Parents (2000)
2;Meet the Fockers (2004)
3;Little Fockers (2010)
1;Het geheim van Mega Mindy (nl) (2009)
2;Mega Mindy en het Zwarte Kristal (nl) (2010)
3;Mega Mindy en de Snoepbaron (nl) (2011)
1;Meister Eder und sein Pumuckl (1982)
2;Pumuckl und der blaue Klabauter (de) (1994)
3;Pumuckl und sein Zirkusabenteuer (de) (2003)
1;Le Samouraï (1967)
2;Le Cercle Rouge (1970)
3;Un flic (1972)
1;Men in Black (1997)
2;Men in Black II (2002)
3;Men in Black 3 (2012)
1;The Mercenary (1968)
2;Compañeros (1970)
3;Long Live Your Death (1971)
1;El Mariachi (1992)
2;Desperado (1995)
3;Once Upon a Time In Mexico (2003)
1;The Seventh Continent (1989)
2;Benny's Video (1992)
3;71 Fragments of a Chronology of Chance (1994)
1;If.... (1968)
2;O Lucky Man! (1973)
3;Britannia Hospital (1982)
1;Mig og min lillebror (1967)
2;Mig og min lillebror og storsmuglerne (1968)
3;Mig og min lillebror og Bølle (1969)
1;The Mighty Ducks (1992)
2;D2: The Mighty Ducks (1994)
3;D3: The Mighty Ducks (1996)
1;The Hostage Tower (1980)  
2;Death Train (aka Detonator) (1993)  
3;Night Watch (1995)  
1;Das Mikroskop (1988)
2;Der Philosoph (1989)
3;Sieben Frauen (1989)
1;Milano calibro 9 (1972)
2;La mala ordina (1972)
3;Il boss (1973)
1;Miljonär för en dag (1926)
2;Kvick som Blixten (1927)
3;På kryss med Blixten (1927)
1;The Girl With The Dragon Tattoo (2009)
2;The Girl Who Played With Fire (2009)
3;The Girl Who Kicked The Hornets' Nest (2009)
1;Mimic (1997)
2;Mimic 2 (2001)  
3;Mimic 3: Sentinel (2003)  
1;The Miracle Worker (1962 film)
2;The Miracle Worker (1979 film)
3;The Miracle Worker (2000 film)
1;Missing in Action (1984)
2;Missing in Action 2: The Beginning (1985)  
3;Braddock: Missing in Action III (1988)
1;The Mouse and the Motorcycle (1986)  
2;Runaway Ralph (1988)  
3;Ralph S. Mouse (1990)  
1;A Moment of Romance (1990)
2;A Moment of Romance II (1992)
3;A Moment of Romance III (1996)
1;Le Monocle noir (fr) (1961)
2;L'Œil du Monocle (fr) (1962)
3;Le Monocle rit jaune (fr) (1964)
1;Godzilla (2014)
2;Kong: Skull Island (2017)
3;Godzilla: King of the Monsters (2019)
1;La gran aventura de Mortadelo y Filemón (2003)
2;Mortadelo y Filemón. Misión: salvar la Tierra (2008)
3;Mortadelo y Filemón contra Jimmy el Cachondo (2014) (A)
1;Mostly Ghostly (2008)  
2;Mostly Ghostly: Have You Met My Ghoulfriend? (2014)  
3;Mostly Ghostly: One Night in Doom House (2016)  
1;Sitting Pretty (1948)
2;Mr. Belvedere Goes to College (1949)
3;Mr. Belvedere Rings the Bell (1951)
1;2-Headed Shark Attack (2012)  
2;3-Headed Shark Attack (2015)  
3;5-Headed Shark Attack (2017)  
1;Muni (2007)
2;Muni 2: Kanchana (2011)
3;Kanchana 2 (2015)
1;Murder (2004)
2;Murder 2 (2011)
3;Murder 3 (2013)
1;MVP: Most Valuable Primate (2000)
2;MVP 2: Most Vertical Primate (2001)
3;MXP: Most Xtreme Primate (2003)
1;My Childhood (1972)
2;My Ain Folk (1973)
3;My Way Home (1978)
1;My Friend Flicka (1943)
2;Thunderhead, Son of Flicka (1945)
3;Green Grass of Wyoming (1948)
1;My Friends (1975)
2;All My Friends Part 2 (1982)
3;Amici miei Atto III (1985)
1;My Super Psycho Sweet 16 (2009)  
2;My Super Psycho Sweet 16: Part 2 (2010)  
3;My Super Psycho Sweet 16: Part 3 (2012)  
1;My Wife Is a Gangster (2001)
2;My Wife Is a Gangster 2 (2003)
3;My Wife Is a Gangster 3 (2006)
1;The Naked Gun: From the Files of Police Squad! (1988)
2;The Naked Gun 2½: The Smell of Fear (1991)
3;Naked Gun 33⅓: The Final Insult (1994)
1;Napló gyermekeimnek (1984)
2;Napló szerelmeimnek (1987)
3;Napló apámnak, anyá
1;Nativity! (2009)
2;Danger in the Manger (2012)
3;Dude, Where's My Donkey? (2014)
1;Naruto the Movie: Ninja Clash in the Land of Snow (2004)
2;Naruto the Movie 2: Legend of the Stone of Gelel (2005)
3;Naruto the Movie 3: Guardians of the Crescent Moon Kingdom (2006)
1;National Lampoon Presents Dorm Daze (2002)
2;National Lampoon's Dorm Daze 2 (2006)  
3;Transylmania (2009)
1;Nemuri Kyôshirô Burai Hikae (1956)
2;Nemuri Kyôshirô Burai Hikae Dainibu (1957)
3;Nemuri Kyôshirô Burai Hikae: Maken Jigoku (1958)
1;Never Back Down (2008)
2;Never Back Down 2: The Beatdown (2011)
3;Never Back Down: No Surrender (2016)  
1;The NeverEnding Story (1984)
2;The NeverEnding Story II: The Next Chapter (1990)
3;The NeverEnding Story III: Escape from Fantasia (1994)
1;New Mr. Vampire (1987)
2;New Mr. Vampire 2 (1990)
3;New Mr. Vampire 3 (1991)
1;Nick Carter, Master Detective (1939)
2;Phantom Raiders (1940)
3;Sky Murder (1940)
1;Night at the Museum (2006)
2;Night at the Museum: Battle of the Smithsonian (2009)
3;Night at the Museum: Secret of the Tomb (2014)
1;Night of the Demons (1988)
2;Night of the Demons 2 (1994)  
3;Night of the Demons III (1997)  
1;The Ninja Mission (1984)
2;Eagle Island (1986)
3;Russian Terminator (1989)
1;Enter the Ninja (1981)
2;Revenge of the Ninja (1983)
3;Ninja III: The Domination (1984)
1;No Retreat, No Surrender (1986)
2;No Retreat, No Surrender 2 (1989)
3;No Retreat, No Surrender 3: Blood Brothers (1992)
1;Late Spring (1949)
2;Early Summer (1951)
3;Tokyo Story (1953)
1;I Not Stupid (2002)*
2;I Not Stupid Too (2006)*
3;We Not Naughty (2012)
1;Not Quite Human (1987)  
2;Not Quite Human II (1989)  
3;Still Not Quite Human (1992)  
1;O Brother, Where Art Thou? (2000)
2;Intolerable Cruelty (2003)
3;Hail, Caesar! (2016)
1;Nunsense (1993)  
2;Nunsense 2: The Sequel (1994)  
3;Nunsense Jamboree (1998)  
1;Oh, God! (1977)
2;Oh, God! Book II (1980)
3;Oh, God! You Devil (1984)
1;On the Buses (1971)
2;Mutiny on the Buses (1971)
3;Holiday on the Buses (1972)
1;Once Upon a Time in the West (1968)
2;Duck, You Sucker! (1971)
3;Once Upon a Time in America (1984)
1;One Missed Call (2004)
2;One Missed Call 2 (2005)
3;One Missed Call: Final (2006)
1;Ong-Bak: Muay Thai Warrior (2003)
2;Ong Bak 2 (2008)  
3;Ong Bak 3 (2010)  
1;Open Water (2003)
2;Open Water 2: Adrift (2006)
3;Open Water 3: Cage Dive (2017)
1;Orgasmo (1969)
2;Così dolce... così perversa (1969)
3;Paranoia (1970)
1;The Blood of a Poet (1932)
2;Orphée (1950)
3;Testament of Orpheus (1960)
1;Kevade (1969)
2;Suvi (1976)
3;Sügis (1990)
1;Outrage (2010)
2;Beyond Outrage (2012)
3;Outrage Coda (2017)
1;På dessa skuldror (sv) (1948)
2;Människors rike (sv) (1949)
3;Tarps Elin (sv) (1956)
1;Page 3 (2005)
2;Corporate (2006)
3;Traffic Signal (2007)
1;Palaris (1941)
2;Awit ni palaris (1946)
3;Anak ni palaris (1955)
1;Mon petit doigt m'a dit... (2005)
2;Crime Is Our Business (2008)
3;Associés contre le crime (film) (fr) (2012)
1;Patlabor: The Movie (2001)
2;Patlabor 2: The Movie (2002)
3;WXIII: Patlabor the Movie 3 (2003)
1;Døden på Oslo S (1990)
2;Giftige løgner (no) (1992)
3;De blå ulvene (1993)
1;Penitentiary (1979)
2;Penitentiary II (1982)
3;Penitentiary III (1987)
1;Nosotros los pobres (1948)
2;Ustedes los ricos (1948)
3;Pepe el Toro (1953)
1;Flugten (da) (1973)
2;Per (1975)
3;Blind makker (da) (1976)
1;Peter Voss, Thief of Millions (1958)
2;Bobby Dodd greift ein (de) (1959)
3;Peter Voss, Hero of the Day (1959)
1;Phoenix (1978)
2;Phoenix 2772 (1980)
3;Phoenix: Ho-o (1986)
1;Pido Dida: Sabay Tayo (1990)
2;Pido Dida 2 (Kasal na) (1991)
3;Pido Dida 3: May kambal na (1992)
1;Piédalu à Paris (fr) (1951)
2;Piédalu fait des miracles (fr) (1952)
3;Piédalu député (fr) (1954)
1;Il Decameron (1971)
2;I racconti di Canterbury (1972)
3;Il fiore delle mille e una notte (1974)
1;Piger i trøjen (1975)
2;Piger i trøjen 2 (1976)
3;Piger til søs (1977)
1;Pink Tush Girl (1978)
2;Pink Tush Girl: Love Attack (1979)
3;Pink Tush Girl: Proposal Strategy (1980)
1;Pitch Perfect (2012)
2;Pitch Perfect 2 (2015)
3;Pitch Perfect 3 (2017)
1;Poeten og Lillemor (1959)
2;Poeten og Lillemor og Lotte (1960)
3;Poeten og Lillemor i forårshumør (1961)
1;Poltergeist (1982)
2;Poltergeist II: The Other Side (1986)
3;Poltergeist III (1988)
1;Roja (1992)
2;Bombay (1995)
3;Dil Se.. (1998)
1;Popeye Meets the Man Who Hated Laughter (1972)  
2;Popeye (1980)
3;Popeye's Voyage: The Quest for Pappy (2004)  
1;Porky's (1982)
2;Porky's II: The Next Day (1983)
3;Porky's Revenge (1985)
1;Prehysteria! (1993)
2;Prehysteria! 2 (1994)  
3;Prehysteria! 3 (1995)  
1;Private Gladiator (2001)
2;Private Gladiator: In the City of Lust (2001)
3;Private Gladiator: Sexual Conquest (2001)
1;Private Lessons (1981)
2;Private Lessons II (1993)
3;Private Lessons: Another Story (1994)
1;Problem Child (1990)
2;Problem Child 2 (1991)
3;Problem Child 3: Junior in Love (1995)  
1;Pulse (2006)
2;Pulse 2: Afterlife (2008)  
3;Pulse 3: Invasion (2008)  
1;Pure Country (1992)
2;Pure Country 2: The Gift (2010)
3;Pure Country: Pure Heart (2017)
1;Pusher (1996)
2;Pusher II: With Blood on my Hands (2004)
3;Pusher III: I'm the Angel of Death (2005)
1;Puss in Boots (1969)
2;The Three Musketeers in Boots (1972)
3;Puss in Boots Travels Around the World (1976)
1;Koyaanisqatsi (1983)
2;Powaqqatsi (1988)
3;Naqoyqatsi (2002)
1;Qing shao nian nuo zha (1992)
2;Ai qing wan sui (1994)
3;He liu (1997)
1;Quando le donne avevano la coda (1970)
2;Quando le donne persero la coda (1972)
3;Quando gli uomini armarono la clava e... con le donne fecero din-don (1971)
1;The Quatermass Xperiment (1955)
2;Quatermass 2 (1957)
3;Quatermass and the Pit (1967)
1;Questi pazzi, pazzi italiani (1965)
2;Viale della canzone (1965)
3;008: Operazione ritmo (1965)
1;The Rat (1925)
2;The Triumph of the Rat (1926)
3;The Return of the Rat (1929)
1;Re-Animator (1985)
2;Bride of Re-Animator (1991)
3;Beyond Re-Animator (2003)  
1;Reclusorio (1997)
2;Fuera de la ley (1998)
3;Reclusorio III (1999)
1;Strictly Ballroom (1992)
2;William Shakespeare's Romeo + Juliet (1997)
3;Moulin Rouge! (2001)
1;Red Riding: In the Year of Our Lord 1974 (2009)
2;Red Riding: In the Year of Our Lord 1980 (2009)
3;Red Riding: In the Year of Our Lord 1983 (2009)
1;Restless (2000)
2;Me and Morrison (2001)
3;Addiction (2004)
1;El prisionero trece (1933)
2;El compadre Mendoza (1934)
3;Vámonos con Pancho Villa (1935)
1;The Ring (2002)
2;The Ring Two (2005)
3;Rings (2017)
1;Ring of Fire (1991)
2;Ring of Fire II: Blood and Steel (1993)
3;Ring of Fire 3: Lion Strike (1995)
1;Rio Bravo (1959)
2;El Dorado (1966)
3;Rio Lobo (1970)
1;My New Partner (1982)
2;My New Partner II (1990)
3;Ripoux 3 (fr) (2003)
1;The Rising Son (1990)
2;Legend of the Dragonslayer Sword (1996)
3;The Rage of Gina (1996)
1;Alice in the Cities (1974)
2;The Wrong Move (1975)
3;Kings of the Road (1976)
1;Roadkill (1989)
2;Highway 61 (1991)
3;Hard Core Logo (1996)
1;The Da Vinci Code (2006)
2;Angels & Demons (2009)
3;Inferno (2016)
1;The Bandit of Sherwood Forest (1946)
2;The Prince of Thieves (1948)
3;Rogues of Sherwood Forest (1950)
1;The Men of Sherwood Forest (1954)
2;Sword of Sherwood Forest (1960)
3;A Challenge for Robin Hood (1967)
1;RoboCop (1987)
2;RoboCop 2 (1990)
3;RoboCop 3 (1993)
1;Rock 'n' Roll High School (1979)
2;Rock 'n' Roll High School Forever (1991)
3;Shake, Rattle and Rock! (1994)  
1;Boris and Natasha: The Movie (1992)
2;Dudley Do-Right (1999)
3;The Adventures of Rocky and Bullwinkle (2000)
1;The Roller Blade Seven (1991)
2;The Legend of the Roller Blade Seven (1992)
3;Return of the Roller Blade Seven (1993)
1;Ruby Red (2013)
2;Sapphire Blue (2014)
3;Emerald Green (2016)
1;Rudolph the Red-Nosed Reindeer (1964)  
2;Rudolph's Shiny New Year (1976)  
3;Rudolph and Frosty's Christmas in July (1979)  
1;The Rugrats Movie (1998)
2;Rugrats in Paris: The Movie (2000)
3;Rugrats Go Wild (2003)
1;Rush Hour (1998)
2;Rush Hour 2 (2001)
3;Rush Hour 3 (2007)
1;Sabata (1969)
2;Adiós, Sabata (1971)
3;Return of Sabata (1971)
1;Sabrina the Teenage Witch (1996)  
2;Sabrina Goes to Rome (1998)  
3;Sabrina Down Under (1999)  
1;Sailor Moon R: The Movie (1993)
2;Sailor Moon S: The Movie (1994)
3;Sailor Moon Super S: The Movie (1995)
1;Samurai I: Musashi Miyamoto (1954)
2;Samurai II: Duel at Ichijoji Temple (1955)
3;Samurai III: Duel at Ganryu Island (1956)
1;The Twilight Samurai (2002)
2;The Hidden Blade (2004)
3;Love and Honor (2006)
1;The Sandlot (1993)
2;The Sandlot 2 (2005)  
3;The Sandlot: Heading Home (2007)  
1;The Santa Clause (1994)
2;The Santa Clause 2 (2002)
3;The Santa Clause 3: The Escape Clause (2006)
1;While the Patient Slept (1935)
2;The Patient in Room 18 (1938)
3;Mystery House (1938)
1;Sarah, Plain and Tall (1991)  
2;Skylark (1993)  
3;Sarah, Plain and Tall: Winter's End (1999)  
1;Sarkar (2005)
2;Sarkar Raj (2008)
3;Sarkar 3 (2017)
1;Scarecrow (2002)  
2;Scarecrow Slayer (2003)  
3;Scarecrow Gone Wild (2004)  
1;Screwballs (1983)
2;Screwballs II: Loose Screws (1985)
3;Screwball Hotel (1988)
1;Agent 077 - Mission Bloody Mary (1965)
2;Agent 077 From the Orient with Fury (1965)
3;Special Mission Lady Chaplin (1966)
1;Secret Games (1992)
2;Secret Games II (The Escort) (1993)
3;Secret Games 3 (1994)
1;The Sentimental Swordsman (1977)
2;Return of the Sentimental Swordsman (1981)
3;Perils of the Sentimental Swordsman (1982)
1;The 7th Voyage of Sinbad (1958)
2;The Golden Voyage of Sinbad (1974)
3;Sinbad and the Eye of the Tiger (1977)
1;Sex and Zen (1992)
2;Sex and Zen II (1996)
3;Sex and Zen III (1998)
1;Shaolin Temple (1982)
2;Kids From Shaolin (1983)
3;Martial Arts of Shaolin (1986)
1;Shark Attack (1999)  
2;Shark Attack 2 (2001)  
3;Shark Attack 3: Megalodon (2002)  
1;Sharktopus (2010)  
2;Sharktopus vs. Pteracuda (2014)  
3;Sharktopus vs. Whalewolf (2015)  
1;Sherlock Holmes and the Deadly Necklace (1962)
2;Sherlock Holmes and the Leading Lady (1992)  
3;Incident at Victoria Falls (1991)  
1;Shiloh (1996)
2;Shiloh 2: Shiloh Season (1999)
3;Saving Shiloh (2006)
1;Shiryô no wana (1988)
2;Shiryô no wana 2: Hideki (1992)
3;Chigireta ai no satsujin (1993)
1;Shocking Asia (1976)
2;Shocking Asia II: The Last Taboos (1985)
3;Shocking Asia III: After Dark (1995)
1;Operatsiya Y i drugiye priklyucheniya Shurika (1965)
2;Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika (1967)
3;Ivan Vasilevich menyaet professiyu (1973)
1;Simon les nuages (fr) (1990)
2;Matusalem (fr) (1993)
3;Matusalem II: le dernier des Beauchesne (1997)
1;Singam (2010)
2;Singam II (2013)
3;Si3 (2017)
1;Sissi (1955)
2;Sissi – The Young Empress (1956)
3;Sissi – Fateful Years of an Empress (1957)
1;Skånska mord - Esarparen (1986)  
2;Skånska mord - Hurvamorden (1986)  
3;Skånska mord - Veberödsmannen (1986)  
1;The Skulls (2000)
2;The Skulls II (2002)  
3;The Skulls III (2004)  
1;Slap Shot (1977)
2;Slap Shot 2: Breaking the Ice (2002)  
3;Slap Shot 3: The Junior League (2008)  
1;À toi de jouer Callaghan (fr) (1955)
2;Plus de whisky pour Callaghan (fr) (1955)
3;Callaghan remet ça (fr) (1961)
1;Snake Eater (1989)
2;Snake Eater II: The Drug Buster (1991)
3;Snake Eater III: His Law (1992)
1;The Snow Queen (2012)
2;The Snow Queen 2 (2014)
3;The Snow Queen 3: Fire and Ice (2016)
1;Sometimes They Come Back (1991)  
2;Sometimes They Come Back Again (1996)  
3;Sometimes They Come Back for More (1998)  
1;Støv på hjernen (1959)
2;Sønner av Norge (1961)
3;Sønner av Norge kjøper bil (1962)
1;The Notorious Sophie Lang (1934)
2;The Return of Sophie Lang (1936)
3;Sophie Lang Goes West (1937)
1;Sorority House Massacre (1986)
2;Sorority House Massacre II (1990)
3;Hard to Die (1990)
1;The Spessart Inn (1958)
2;The Haunted Castle (1960)
3;Glorious Times at the Spessart Inn (1967)
1;Through a Glass, Darkly (1961)
2;Winter Light (1963)
3;The Silence (1963)
1;Spider-Man (2002)
2;Spider-Man 2 (2004)
3;Spider-Man 3 (2007)
