number;title
2;Big Momma's House 2 (2006)
3;Big Mommas: Like Father, Like Son (2011)
1;Bikini Summer (1991)
2;Bikini Summer II (1992)
3;Bikini Summer III: South Beach Heat (1997)
1;Bishojo Senshi Sailor Moon R: The Movie (1993)
2;Bishojo Senshi Sailor Moon S: The Movie (1994)
3;Bishojo Senshi Sailor Moon SuperS: The Movie (The 9 Sailor Soldiers Get Together! Miracle in the Black Dream Hole) (1995)
1;The Black Stallion (1979)
2;The Black Stallion Returns (1983)
3;The Young Black Stallion (2003)  
1;Shinjuku Triad Society (1995)
2;Rainy Dog (1997)
3;Ley Lines (1999)
1;Blade (1998)
2;Blade II (2002)
3;Blade: Trinity (2004)
1;Blade Runner (1982)
2;Soldier (1998) (sidequel)
3;Blade Runner 2049 (2017)
1;The Blair Witch Project (1999)
2;Book of Shadows: Blair Witch 2 (2000)
3;Blair Witch (2016)
1;BloodRayne (2005)
2;BloodRayne 2: Deliverance (2007)  
3;BloodRayne: The Third Reich (2011)  
1;Yûreiyashiki no kyôfu: Chi o suu ningyô (1970)
2;Noroi no yakata: Chi o sû me (1971)
3;Chi o suu bara (1974)
1;The Boogeyman (1980)
2;Boogeyman II (1983)
3;Return of the Boogeyman (1994)  
1;Boogeyman (2005)
2;Boogeyman 2 (2007)
3;Boogeyman 3 (2008)
1;Boonie Bears: To the Rescue (2014)
2;Boonie Bears: Mystical Winter (2015)
3;Boonie Bears III (2016)
1;Bourlivé víno (1976)
2;Zralé víno (1981)
3;Mladé víno (1986)
1;The Brady Bunch Movie (1995)
2;A Very Brady Sequel (1996)
3;The Brady Bunch in the White House (2002)  
1;The Brave Little Toaster (1987)
2;The Brave Little Toaster Goes to Mars (1998)  
3;The Brave Little Toaster to the Rescue (1999)  
1;The Marriage of Maria Braun (1979)
2;Veronika Voss (1982)
3;Lola (1981)
1;Bremenskie muzykanty (1969)
2;Po sledam bremenskikh muzykantov (1971)
3;Novye Bremenskiye (2000)
1;Bridget Jones's Diary (2001)
2;Bridget Jones: The Edge of Reason (2004)
3;Bridget Jones's Baby (2016)
1;Victims of Vice (1978)
2;Brigade mondaine : La secte de Marrakech (1979)
3;Brigade mondaine : Vaudou aux Caraïbes (fr) (1980)
1;Brighton Beach Memoirs (1986)
2;Biloxi Blues (1988)
3;Broadway Bound (1992)  
1;Broken Arrow (1950)
2;The Battle at Apache Pass (1952)
